product_id,category_id,content,rate,valorization
MLV513679458,MLV5732,"Muy buen producto, resulto adecuado para lo que lo necesitaba.",5,2
MLV513679458,MLV5732,Siempre busco loctite en silicón es lo mejor.,5,1
MLV513679458,MLV5732,Muy bueno exelente precio y validad.,5,1
MLV513679458,MLV5732,Sin comentarios producto de calidad.,5,1
MLV513679458,MLV5732,Muy bueno lo he comprado en otras oportunidades.,5,1
MLV513679458,MLV5732,"Muy buen producto, secado rápido, recomendado.",5,1
MLV513679458,MLV5732,Excelente es bueno se uso y sello.,5,1
MLV513679458,MLV5732,Excelente producto de los mejores en el mercado actualmente.,4,1
MLV513679458,MLV5732,Buen producto. Buen producto  buen producto.,5,1
MLV513679458,MLV5732,"Producto original , de calidad y a buen precio.",5,1
MLV513679458,MLV5732,Excelente alta calidad  completamente original.,5,1
MLV513679458,MLV5732,"Excelente, de muy buena marca, recistente,.",5,1
MLV513679458,MLV5732,"Es lo esperado, muy buena calidad.",5,1
MLV513679458,MLV5732,Muy bien sin problemas funciono correctamente.,5,1
MLV513679458,MLV5732,El producto es muy bueno no tuve  ningun problema.,5,1
MLV513679458,MLV5732,Perfecto excelente todo bien recomendados.,5,1
MLV513679458,MLV5732,Muy buen producto muy buena calidad.,5,1
MLV513679458,MLV5732,Es de muyvbuna calidad el producto.,5,1
MLV513679458,MLV5732,Excelente producto muy buena calidad   calidad era lo que buscaba.,5,1
MLV513679458,MLV5732,Todo muy bien lo recomiendo producto de calidad.,4,1
MLV513679458,MLV5732,Producto de buena calidad. Hace bien el trabajo.,5,1
MLV513679458,MLV5732,El producto es muy buena calidad.,4,1
MLV513679458,MLV5732,"Excelente producto, funciona a la prefeccion y es de alta temperatura.",5,1
MLV513679458,MLV5732,Excelente producto rapido y eficaz recomendado.,3,1
MLV513679458,MLV5732,"Excelente. 
Recomendado con los ojos cerrados.",5,1
MLV513679458,MLV5732,"Producto de buena calidad, 100% recomendado.",5,1
MLV513679458,MLV5732,Fino me sirvió lo utilizó y estaba bueno.,5,1
MLV513679458,MLV5732,Excelente producto. 100% recomendado.,5,0
MLV513679458,MLV5732,Excelente! me funciono muy bien.,5,0
MLV513679458,MLV5732,"Excelente el producto,recomendados.",5,0
MLV513679458,MLV5732,"Bien rapida efectiva, era lo que buscaba.",4,0
MLV513679458,MLV5732,"Buen producto, es de buena calidad.",5,0
MLV513679458,MLV5732,"Producto excelente, recomendado 100%.",5,0
MLV513679458,MLV5732,Todo excelente lo recomiendo 100%.,5,0
MLV513679458,MLV5732,Producto original 100% recomrndado.,5,0
MLV513679458,MLV5732,"Excelente producto, rexomendado.",5,0
MLV513679458,MLV5732,Excelente producto lo recomiendo.,5,0
MLV513679458,MLV5732,Excelente producto muy bueno resolvi.,3,0
MLV513679458,MLV5732,Muy buen producto se recomienda.,5,0
MLV513679458,MLV5732,"100% recomendado, producto grantizado!.",5,0
MLV513679458,MLV5732,Muy buen producto. Exelente calidad.,4,0
MLV513679458,MLV5732,"Buen producto, sirvió excelente.",5,0
MLV513679458,MLV5732,Excelente. .,5,0
MLV513679458,MLV5732,Producto de excelente calidad.,5,0
MLV513679458,MLV5732,Excelente producto mi satisfecho.,4,0
MLV513679458,MLV5732,"Excelente!!!. 
. 
Un éxito, cumplió el objetivo.",5,0
MLV513679458,MLV5732,De buena calidad lo recomiendo.,4,0
MLV513679458,MLV5732,Buena marca pero el producto estaba vencido. Ka mitad del tubo estaba seco.,1,-6
MLV539804328,MLV5732,"Ok, es muy buen producto lo recomiendo.",5,0
MLV539804328,MLV5732,Muy buena calidad del producto.,4,0
MLV539804328,MLV5732,"Excelente la compra del producto, mas no lo he podido utilizar aun.",4,0
MLV539804328,MLV5732,Excelente producto de calidad y económico.,3,0
MLV539804328,MLV5732,"Es muy buena la masilla, se trabaja muy bien con ella.",4,0
MLV539804328,MLV5732,Todo bien! sin ningún tipo de percance.,4,0
MLV530102701,MLV5732,Excelente. Recomendado 1000% a la comunidad ml.,5,0
MLV530102701,MLV5732,Buen procucto la pintura cubre y rinde.,5,0
MLV467927974,MLV5732,Calidad recomendado. Producto de calidad.,5,0
MLV467927974,MLV5732,Excelente. Y muy rápido la compra.,5,0
MLV467927974,MLV5732,Muy bueno el producto recomendado.,5,0
MLV467927974,MLV5732,Excelente articulo de vuena calidad.,5,0
MLV545590173,MLV5732,Muy buen producto lo recomiendo.,5,0
MLV545590173,MLV5732,Excelente producto cumplió con todas las expectativas que esperaba del el.,5,0
MLV545590173,MLV5732,Excelente muy buenas las recomiendo.,5,0
MLV545590173,MLV5732,Muy buen producto compre con confianza.,5,0
MLV545590173,MLV5732,Excelente muy recomendado a la comunidad de mercadolibre.,5,0
MLV545590173,MLV5732,El producto cumple con mi expectativa es más mejor de lo que pense.,5,0
MLV545590173,MLV5732,Excelente calidad y precio en el mercado los recomiendo.,5,0
MLV545590173,MLV5732,Excelente lo mejor de este producto.,5,0
MLV545590173,MLV5732,Originales muy buenas.,4,0
MLV545590173,MLV5732,"Excelente ,negociacion muy expedita.",5,0
MLV545590173,MLV5732,Excelente producto. Totalmente nuevo.,5,0
MLV545590173,MLV5732,Se recomienda.,5,0
MLV538148833,MLV5732,"Excelente  producto y es de fibra de vidrio, mas duradera que la de plastico.",5,0
MLV538148833,MLV5732,Excelente productp. Encaja perfectamente en el vehiculo.,4,0
MLV522014241,MLV5732,Excelente producto era lo esperado.,5,0
MLV522014241,MLV5732,"Todo muy bien,recomendado,todo bien.",5,0
MLV522014241,MLV5732,Excelente full bueno y rendidor.,5,0
MLV522014241,MLV5732,Buen producto. Lo recomiendo ampliamente.,4,0
MLV522014241,MLV5732,"Excelente, calidad garantizada.",5,0
MLV552541887,MLV5732,"Bien , en su envoltura funciona correctsmente.",5,0
MLV552541887,MLV5732,Excelente producto de muy buena calidad.,5,0
MLV538826886,MLV5732,"Buenos seguros son de material resistente, muy parecidos a los original. Se recomiendan.",5,0
MLV538826886,MLV5732,Lo recomiendo 100% buenísimo es lo que esperaba.,5,0
MLV538826886,MLV5732,Excelente muy bueno lo que estaba buscando.,5,0
MLV538826886,MLV5732,"Buen producto, fue justo lo que esperaba.",5,0
MLV538826886,MLV5732,Excelente producto lo recomiendo.,5,0
MLV538826886,MLV5732,Buen producto en excelente estado en su envoltorio sin novedad.,5,0
MLV538826886,MLV5732,"Buen producto, resuelve el problema.",4,0
MLV538826886,MLV5732,Excelente producto. Recomendado.,5,0
MLV538826886,MLV5732,Lo esperado. Sin problemas. El producto funciona.,5,0
MLV536596447,MLV122664,Sin comentarios productos de excelente calidad. Recomendable.,5,-1
MLV536596447,MLV122664,Excelente calidad el producto.,5,-1
MLV536596447,MLV122664,"Compre combo de perros y hamburguesas, la carne y las salchichas son deliciosas, el pan también muy bueno, lo recomiendo totalmente.",5,-1
MLV536596447,MLV122664,"Excelente calidad del producto, las carnes sabrosas y el pan compacto. Los recomiendo ampliamente, sin duda les volveré a comprar.",5,-1
MLV536596447,MLV122664,Excelente producto recomendado.,5,-1
MLV536596447,MLV122664,"De muy buena calidad, totalmente frescos.",5,-1
